created_at,path_name,path_name_related
'2022-11-05 21:28:04.421',"line installers and repairers","telecommunications line installers and repairers"
'2022-11-05 21:28:04.421',"line installers and repairers","line installers"
'2022-11-05 21:28:04.421',"line installers and repairers","line repairers"
'2022-11-05 21:28:04.421',"small engine mechanics","motorboat mechanics and service technicians"
'2022-11-05 21:28:04.421',"small engine mechanics","motorcycle mechanics"
'2022-11-05 21:28:04.421',"small engine mechanics","outdoor power equipment and other small engine mechanics"
'2022-11-05 21:28:04.421',"telecommunications equipment installers and repairers","central office technicians"
'2022-11-05 21:28:04.421',"telecommunications equipment installers and repairers","headend technicians"
'2022-11-05 21:28:04.421',"telecommunications equipment installers and repairers","home installers and repairers"
'2022-11-05 21:28:04.421',"arbitrators, mediators, conciliators","arbitrators"
'2022-11-05 21:28:04.421',"arbitrators, mediators, conciliators","mediators"
'2022-11-05 21:28:04.421',"arbitrators, mediators, conciliators","conciliators"
'2022-11-05 21:28:04.421',"court reporters","broadcast captioners"
'2022-11-05 21:28:04.421',"court reporters","communication access real time translation providers"
'2022-11-05 21:28:04.421',"judges and hearing officers","judges"
'2022-11-05 21:28:04.421',"judges and hearing officers","magistrate judges"
'2022-11-05 21:28:04.421',"judges and hearing officers","magistrates"
'2022-11-05 21:28:04.421',"judges and hearing officers","administrative law judges"
'2022-11-05 21:28:04.421',"judges and hearing officers","adjudicators"
'2022-11-05 21:28:04.421',"judges and hearing officers","hearing officers"
'2022-11-05 21:28:04.421',"lawyers","defense attorneys"
'2022-11-05 21:28:04.421',"lawyers","prosecutors"
'2022-11-05 21:28:04.421',"lawyers","corporate counsels"
'2022-11-05 21:28:04.421',"lawyers","government counsels"
'2022-11-05 21:28:04.421',"lawyers","public interest lawyers"
'2022-11-05 21:28:04.421',"lawyers","environmental lawyers"
'2022-11-05 21:28:04.421',"lawyers","tax lawyers"
'2022-11-05 21:28:04.421',"lawyers","intellectual property lawyers"
'2022-11-05 21:28:04.421',"lawyers","family lawyers"
'2022-11-05 21:28:04.421',"lawyers","securities lawyers"
'2022-11-05 21:28:04.421',"paralegals and legal assistants","corporate paralegals"
'2022-11-05 21:28:04.421',"paralegals and legal assistants","litigation paralegals"
'2022-11-05 21:28:04.421',"agricultural and food scientists","animal scientists"
'2022-11-05 21:28:04.421',"agricultural and food scientists","food scientists and technologists"
'2022-11-05 21:28:04.421',"agricultural and food scientists","plant scientists"
'2022-11-05 21:28:04.421',"agricultural and food scientists","soil scientists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","atmospheric chemists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","atmospheric physicists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","atmospheric dynamists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","broadcast meteorologists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","climatologists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","climate scientists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","forensic meteorologists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","research meteorologists"
'2022-11-05 21:28:04.421',"atmospheric scientists, meteorologists","weather forecasters"
'2022-11-05 21:28:04.421',"conservation scientists, foresters","conservation land managers"
'2022-11-05 21:28:04.421',"conservation scientists, foresters","range managers"
'2022-11-05 21:28:04.421',"conservation scientists, foresters","soil and water conservationists"
'2022-11-05 21:28:04.421',"conservation scientists, foresters","procurement foresters"
'2022-11-05 21:28:04.421',"conservation scientists, foresters","urban foresters"
'2022-11-05 21:28:04.421',"conservation scientists, foresters","conservation education foresters"
'2022-11-05 21:28:04.421',"environmental scientists and specialists","climate change analysts"
'2022-11-05 21:28:04.421',"environmental scientists and specialists","environmental health and saafety specialists"
'2022-11-05 21:28:04.421',"environmental scientists and specialists","environmental restoration planners"
'2022-11-05 21:28:04.421',"environmental scientists and specialists","industrial ecologists"
'2022-11-05 21:28:04.421',"environmental scientists and specialists","environmental chemists"
'2022-11-05 21:28:04.421',"forensic science technicians","criminalists"
'2022-11-05 21:28:04.421',"forensic science technicians","crime scene investigators"
'2022-11-05 21:28:04.421',"forensic science technicians","forensic biologists"
'2022-11-05 21:28:04.421',"forensic science technicians","forensic chemists"
'2022-11-05 21:28:04.421',"forensic science technicians","forensic computer examiners"
'2022-11-05 21:28:04.421',"forensic science technicians","digital forensics analysts"
'2022-11-05 21:28:04.421',"geographers","physical geographers"
'2022-11-05 21:28:04.421',"geographers","human geographers"
'2022-11-05 21:28:04.421',"geoscientists","geologists"
'2022-11-05 21:28:04.421',"geoscientists","geochemists"
'2022-11-05 21:28:04.421',"geoscientists","geophysicists"
'2022-11-05 21:28:04.421',"geoscientists","oceanographers"
'2022-11-05 21:28:04.421',"geoscientists","paleontologists"
'2022-11-05 21:28:04.421',"geoscientists","petrelum geolgists"
'2022-11-05 21:28:04.421',"geoscientists","sismologists"
'2022-11-05 21:28:04.421',"hydrologists","groundwater hydrologists"
'2022-11-05 21:28:04.421',"hydrologists","surface water hydrologists"
'2022-11-05 21:28:04.421',"microbiologists","bacteriologists"
'2022-11-05 21:28:04.421',"microbiologists","clinical microbiologists"
'2022-11-05 21:28:04.421',"microbiologists","environmental microbiologists"
'2022-11-05 21:28:04.421',"microbiologists","industrial microbiologists"
